date,t2m,d2m,tp,u10,v10,swvl1,wind_speed,relative_humidity,risk_score
2017-05-31,45.329407,32.20831,0.00052425516,0.8712613,-0.101709254,0.3527992,0.8771779,59.884533,0.0
2017-06-01,49.25469,32.00992,0.00018490833,-0.6228383,-1.1236165,0.33963242,1.2846951,51.253605,0.0
2017-06-02,51.57767,34.571766,7.693681e-05,-1.4032816,-1.1444393,0.32716706,1.8107846,52.102444,0.0
2017-06-03,52.36496,36.202366,0.00026412195,-1.3300844,-0.8740874,0.31757727,1.5915884,53.994976,0.0
2017-06-04,53.60848,38.209568,0.00058607414,-1.1071736,-0.7769925,0.3113408,1.3526088,55.826572,0.0
2017-06-05,53.736225,38.934353,0.0012089777,-1.1396493,-0.6881469,0.31186226,1.3312951,57.163757,0.0
2017-06-06,53.682095,38.082417,0.00070332823,-1.4269372,-0.22157592,0.30764902,1.4440379,55.399765,0.0
2017-06-07,56.33583,38.261265,0.00024707863,-1.9131614,-0.9756926,0.29632336,2.1475947,50.65733,0.0
2017-06-08,58.290195,41.80362,0.00027335732,-2.1079862,-1.2486532,0.2872115,2.4500492,54.181595,0.0
2017-06-09,62.080456,46.078686,9.551235e-05,-1.6277071,-0.95039445,0.27704826,1.8848554,55.743988,0.0
2017-06-10,59.08737,44.55653,0.0010975708,-1.3775783,-0.78725094,0.27744472,1.5866587,58.51387,0.0
2017-06-11,52.2693,39.441113,0.0023918778,-0.5425115,-0.4110305,0.29457736,0.68063563,61.527924,0.0
2017-06-12,48.4304,37.894596,0.0026675526,0.24217172,-0.059304148,0.31368846,0.24932735,66.78674,0.0
2017-06-13,45.868786,30.843744,0.0016301693,-1.1640626,-0.79339534,0.31298706,1.4087292,55.52774,0.0
2017-06-14,49.182205,28.98049,0.00048839656,-1.0529238,-0.39652917,0.29883435,1.125115,45.449104,0.0
2017-06-15,53.082714,32.677242,0.00040617908,-0.32169095,-0.12844785,0.28746358,0.34638694,45.699074,0.0
2017-06-16,54.172276,37.27805,0.0007456178,0.48635557,0.20405547,0.28287742,0.5274281,52.724796,0.0
2017-06-17,53.42303,42.185467,0.0019989714,1.3304746,1.4877974,0.29679874,1.9959217,65.58743,0.0
2017-06-18,53.330658,42.420166,0.0015269743,0.9660639,1.2143431,0.30446923,1.5517436,66.40633,0.0
2017-06-19,54.944134,42.842728,0.0012105715,-0.18166596,-0.1629731,0.30544606,0.24405481,63.63255,0.0
2017-06-20,56.66391,44.931885,0.0023124192,0.1130982,-0.32820305,0.30849883,0.34714326,64.75295,0.0
2017-06-21,55.929317,42.734898,0.0017026765,1.8275615,-0.079504825,0.31527725,1.82929,61.143887,0.0
2017-06-22,58.78432,43.056667,0.00038880948,1.339471,0.06111579,0.29745847,1.3408645,55.85757,0.0
2017-06-23,58.750824,43.710648,0.00079291034,1.30101,0.6301851,0.28770295,1.4456003,57.34191,0.0
2017-06-24,56.39912,43.733074,0.0015057077,1.4529108,0.16667442,0.29251334,1.4624398,62.45576,0.0
2017-06-25,56.97891,41.677574,0.0010768588,1.2036641,-0.19444723,0.28563368,1.219269,56.52171,0.0
2017-06-26,57.48114,42.353214,0.0008894475,0.0578503,0.26597187,0.2788857,0.27219054,56.97159,0.0
2017-06-27,57.865658,42.74559,0.00085886725,-0.1375596,0.6346242,0.2740818,0.6493616,57.04289,0.0
2017-06-28,57.65015,42.151062,0.0010296303,-0.32033992,1.1075895,0.27079776,1.152984,56.187767,0.0
2017-06-29,59.74776,43.248856,0.0002633295,-0.49129084,0.5086317,0.26376095,0.7071583,54.367878,0.0
2017-06-30,60.576733,45.00427,0.00063445774,-0.65797406,0.62643254,0.25849485,0.9084864,56.4442,0.0
2017-07-01,59.324142,47.073193,0.0011822465,0.323732,0.37570322,0.26482052,0.4959388,63.821445,0.0
2017-07-02,59.096256,48.67046,0.0027268103,0.7784696,-0.09132872,0.28157744,0.7838086,68.31647,0.0
2017-07-03,58.983932,48.93303,0.0027557816,0.61040837,-0.24730308,0.29364634,0.6586025,69.26744,0.0
2017-07-04,59.656708,49.42307,0.0021191153,0.8922358,-0.11017281,0.29830495,0.89901215,68.871475,0.0
2017-07-05,62.031162,48.771244,0.0008257301,1.3381919,0.38541865,0.2889306,1.3925893,61.788948,0.0
2017-07-06,64.26438,48.88751,0.0004175376,0.5913845,0.74228334,0.27475992,0.94906276,57.377834,0.0
2017-07-07,65.46093,49.429794,0.0010697375,0.721404,0.6228608,0.26695004,0.95308936,56.15871,0.0
2017-07-08,64.02172,49.742016,0.001183157,0.7228423,0.082539245,0.26693204,0.7275395,59.73971,0.0
2017-07-09,61.3575,47.623386,0.004680713,-0.6006687,0.009983577,0.27920264,0.6007517,60.6138,0.0
